"","sample","gene","anova_p","mean_between","mean_intra","fdr"
"6792","M8","ENSG00000137161",0.11,4.973,4.8632,0.9283
"6793","M8","ENSG00000161203",0.244,3.6605,3.8194,0.9297
"6794","M8","ENSG00000279476",0.4581,0.7953,0.6799,0.9297
"6795","M8","ENSG00000124224",0.5017,-0.1354,-0.0095,0.9346
"6796","M8","ENSG00000242510",0.497,-0.9108,-0.5435,0.9332
"6797","M8","ENSG00000172426",0.2765,1.3694,1.1403,0.9297
"6798","M8","ENSG00000053702",0.9516,1.855,1.8473,0.9897
"6799","M8","ENSG00000181222",0.2612,4.6391,4.5753,0.9297
"6800","M8","ENSG00000236733",0.4485,-1.5906,-0.8537,0.9297
"6801","M8","ENSG00000011451",0.6387,1.9391,1.8824,0.9617
"6802","M8","ENSG00000100918",0.2022,2.6201,2.5312,0.9297
"6803","M8","ENSG00000099998",0.9679,-5.4031,-5.3785,0.9922
"6804","M8","ENSG00000178105",0.9387,1.7223,1.7127,0.9864
"6805","M8","ENSG00000162694",0.45,1.3167,1.4606,0.9297
"6806","M8","ENSG00000226942",0.6824,1.1461,1.0606,0.9668
"6807","M8","ENSG00000227330",0.1578,-4.6989,-6.6439,0.9297
"6808","M8","ENSG00000100526",0.6532,1.8925,1.9563,0.9634
"6809","M8","ENSG00000126838",0.5871,-4.4947,-4.7284,0.9561
"6810","M8","ENSG00000087053",0.8496,2.8526,2.8287,0.9779
"6811","M8","ENSG00000198874",0.0819,2.6813,2.5281,0.9065
"6812","M8","ENSG00000006712",0.0342,3.4227,3.2408,0.8047
"6813","M8","ENSG00000023909",0.1133,1.1371,1.3932,0.9297
"6814","M8","ENSG00000261770",0.4813,2.0687,1.9778,0.9297
"6815","M8","ENSG00000148219",0.8234,-0.4156,-0.4514,0.9779
"6816","M8","ENSG00000138780",0.3988,1.199,1.3527,0.9297
"6817","M8","ENSG00000284968",0.2906,-0.3958,0.1306,0.9297
"6818","M8","ENSG00000163026",0.3231,2.1302,2.227,0.9297
"6819","M8","ENSG00000203761",0.3877,2.6878,2.7632,0.9297
"6820","M8","ENSG00000173930",0.4393,1.032,1.1277,0.9297
"6821","M8","ENSG00000079616",0.2661,2.8571,2.9434,0.9297
"6822","M8","ENSG00000206651",0.8531,1.9185,1.8371,0.9779
"6823","M8","ENSG00000210112",0.4888,4.2005,4.0962,0.9297
"6824","M8","ENSG00000230637",0.7164,0.4369,0.3259,0.9668
"6825","M8","ENSG00000233603",0.1736,0.3604,0.9778,0.9297
"6826","M8","ENSG00000160193",0.5355,2.9545,3.0126,0.9436
"6827","M8","ENSG00000230287",0.9008,-0.7427,-0.6315,0.9833
"6828","M8","ENSG00000011114",0.2782,2.3097,2.4729,0.9297
"6829","M8","ENSG00000120832",0.653,1.2806,1.3907,0.9634
"6830","M8","ENSG00000263098",0.6049,-2.2263,-3.0523,0.9571
"6831","M8","ENSG00000270809",0.434,-1.3714,-0.6101,0.9297
"6832","M8","ENSG00000259502",0.5347,-4.4384,-5.3278,0.9436
"6833","M8","ENSG00000054267",0.7141,2.613,2.5629,0.9668
"6834","M8","ENSG00000253899",0.7549,-5.5717,-5.8621,0.97
"6835","M8","ENSG00000243607",0.1997,-2.1693,-0.3011,0.9297
"6836","M8","ENSG00000226253",0.389,0.378,-0.2905,0.9297
"6837","M8","ENSG00000271537",0.2419,-2.5659,-0.9367,0.9297
"6838","M8","ENSG00000274570",0.8232,-2.0696,-2.1471,0.9779
"6839","M8","ENSG00000249855",0.2448,2.3746,2.0813,0.9297
"6840","M8","ENSG00000240087",0.9988,1.1603,1.1608,0.9996
"6841","M8","ENSG00000178764",0.3188,3.9318,3.8724,0.9297
"6842","M8","ENSG00000254165",0.2683,1.273,1.584,0.9297
"6843","M8","ENSG00000257529",0.8635,3.5715,3.4986,0.9779
"6844","M8","ENSG00000281420",0.7791,1.2988,1.404,0.9724
"6845","M8","ENSG00000124813",0.1657,-5.1558,-4.6644,0.9297
"6846","M8","ENSG00000231655",0.9693,-0.8943,-0.8558,0.993
"6847","M8","ENSG00000282246",0.118,-1.3641,-3.5292,0.9297
"6848","M8","ENSG00000160714",0.1859,4.2323,4.1929,0.9297
"6849","M8","ENSG00000145041",0.3841,3.3606,3.4187,0.9297
"6850","M8","ENSG00000160439",0.3826,0.5945,0.4719,0.9297
