"gene_compare","gene","compare","uchar"
"ENSG00000159335 D5/D6","ENSG00000159335","D5/D6",2.26189786893164
"ENSG00000159339 D5/D6","ENSG00000159339","D5/D6",13.087202460667
"ENSG00000159884 D5/D6","ENSG00000159884","D5/D6",3.16266254590831
"ENSG00000160013 D5/D6","ENSG00000160013","D5/D6",2.09546980914035
"ENSG00000160172 D5/D6","ENSG00000160172","D5/D6",4.47709126636169
"ENSG00000160193 D5/D6","ENSG00000160193","D5/D6",1.04789867415472
"ENSG00000160200 D5/D6","ENSG00000160200","D5/D6",0.993407888160131
"ENSG00000160229 D5/D6","ENSG00000160229","D5/D6",5.72930671527693
"ENSG00000160299 D5/D6","ENSG00000160299","D5/D6",2.01101417211309
"ENSG00000160570 D5/D6","ENSG00000160570","D5/D6",2.75130975384388
"ENSG00000160683 D5/D6","ENSG00000160683","D5/D6",14.8310077888029
"ENSG00000160991 D5/D6","ENSG00000160991","D5/D6",3.46673909458119
"ENSG00000162408 D5/D6","ENSG00000162408","D5/D6",2.77354726295513
"ENSG00000162694 D5/D6","ENSG00000162694","D5/D6",2.57371192248454
"ENSG00000162702 D5/D6","ENSG00000162702","D5/D6",20.5490763836544
"ENSG00000162775 D5/D6","ENSG00000162775","D5/D6",3.72027689817078
"ENSG00000162804 D5/D6","ENSG00000162804","D5/D6",2.54911426262271
"ENSG00000163312 D5/D6","ENSG00000163312","D5/D6",2.26827115518092
"ENSG00000163376 D5/D6","ENSG00000163376","D5/D6",5.27544296920732
"ENSG00000163510 D5/D6","ENSG00000163510","D5/D6",1.22019592684888
"ENSG00000163820 D5/D6","ENSG00000163820","D5/D6",2.90634971201371
"ENSG00000163875 D5/D6","ENSG00000163875","D5/D6",1.532117810941
"ENSG00000164199 D5/D6","ENSG00000164199","D5/D6",9.53925978921692
"ENSG00000164692 D5/D6","ENSG00000164692","D5/D6",11.4491809795213
"ENSG00000165046 D5/D6","ENSG00000165046","D5/D6",4.23099011082379
"ENSG00000165178 D5/D6","ENSG00000165178","D5/D6",1.76668494411986
"ENSG00000165475 D5/D6","ENSG00000165475","D5/D6",3.34264419239362
"ENSG00000165548 D5/D6","ENSG00000165548","D5/D6",19.6016813976217
"ENSG00000165591 D5/D6","ENSG00000165591","D5/D6",4.0116832350441
"ENSG00000165874 D5/D6","ENSG00000165874","D5/D6",3.19257352832932
"ENSG00000165948 D5/D6","ENSG00000165948","D5/D6",2.68117205872804
"ENSG00000166257 D5/D6","ENSG00000166257","D5/D6",16.1649932412282
"ENSG00000166471 D5/D6","ENSG00000166471","D5/D6",4.29393938216889
"ENSG00000166582 D5/D6","ENSG00000166582","D5/D6",1.74692566858365
"ENSG00000166710 D5/D6","ENSG00000166710","D5/D6",5.82683586235362
"ENSG00000167077 D5/D6","ENSG00000167077","D5/D6",1.70034565657372
"ENSG00000167106 D5/D6","ENSG00000167106","D5/D6",5.39185512877416
"ENSG00000167186 D5/D6","ENSG00000167186","D5/D6",1.64528337566367
"ENSG00000167604 D5/D6","ENSG00000167604","D5/D6",1.60176063499238
"ENSG00000167608 D5/D6","ENSG00000167608","D5/D6",8.69532640134753
"ENSG00000167792 D5/D6","ENSG00000167792","D5/D6",1.85112784287714
"ENSG00000167900 D5/D6","ENSG00000167900","D5/D6",3.52529660902026
"ENSG00000168246 D5/D6","ENSG00000168246","D5/D6",1.575289203622
"ENSG00000168522 D5/D6","ENSG00000168522","D5/D6",2.60476346640345
"ENSG00000168610 D5/D6","ENSG00000168610","D5/D6",0.639777860967067
"ENSG00000168778 D5/D6","ENSG00000168778","D5/D6",1.57524419085554
"ENSG00000169032 D5/D6","ENSG00000169032","D5/D6",1.62538187871469
"ENSG00000169062 D5/D6","ENSG00000169062","D5/D6",4.57404961397312
"ENSG00000169282 D5/D6","ENSG00000169282","D5/D6",53.2169613211662
"ENSG00000169718 D5/D6","ENSG00000169718","D5/D6",1.78080933342317
"ENSG00000170006 D5/D6","ENSG00000170006","D5/D6",1.09915449288188
