"gene_compare","gene","compare","us"
"ENSG00000135506 D5/D6","ENSG00000135506","D5/D6",3.04463151948601
"ENSG00000135596 D5/D6","ENSG00000135596","D5/D6",3.04463151948601
"ENSG00000135622 D5/D6","ENSG00000135622","D5/D6",3.04463151948601
"ENSG00000135837 D5/D6","ENSG00000135837","D5/D6",3.04463151948601
"ENSG00000135838 D5/D6","ENSG00000135838","D5/D6",3.04463151948601
"ENSG00000136379 D5/D6","ENSG00000136379","D5/D6",3.04463151948601
"ENSG00000136541 D5/D6","ENSG00000136541","D5/D6",3.04463151948601
"ENSG00000137161 D5/D6","ENSG00000137161","D5/D6",3.04463151948601
"ENSG00000137309 D5/D6","ENSG00000137309","D5/D6",3.04463151948601
"ENSG00000137404 D5/D6","ENSG00000137404","D5/D6",3.04463151948601
"ENSG00000137491 D5/D6","ENSG00000137491","D5/D6",3.04463151948601
"ENSG00000137936 D5/D6","ENSG00000137936","D5/D6",3.04463151948601
"ENSG00000138032 D5/D6","ENSG00000138032","D5/D6",3.04463151948601
"ENSG00000138035 D5/D6","ENSG00000138035","D5/D6",3.04463151948601
"ENSG00000138642 D5/D6","ENSG00000138642","D5/D6",3.04463151948601
"ENSG00000139083 D5/D6","ENSG00000139083","D5/D6",3.04463151948601
"ENSG00000139973 D5/D6","ENSG00000139973","D5/D6",3.04463151948601
"ENSG00000139990 D5/D6","ENSG00000139990","D5/D6",3.04463151948601
"ENSG00000140853 D5/D6","ENSG00000140853","D5/D6",3.04463151948601
"ENSG00000140939 D5/D6","ENSG00000140939","D5/D6",3.04463151948601
"ENSG00000141101 D5/D6","ENSG00000141101","D5/D6",3.04463151948601
"ENSG00000141337 D5/D6","ENSG00000141337","D5/D6",3.04463151948601
"ENSG00000141452 D5/D6","ENSG00000141452","D5/D6",3.04463151948601
"ENSG00000141858 D5/D6","ENSG00000141858","D5/D6",3.04463151948601
"ENSG00000141994 D5/D6","ENSG00000141994","D5/D6",3.04463151948601
"ENSG00000142178 D5/D6","ENSG00000142178","D5/D6",3.04463151948601
"ENSG00000142512 D5/D6","ENSG00000142512","D5/D6",3.04463151948601
"ENSG00000142765 D5/D6","ENSG00000142765","D5/D6",3.04463151948601
"ENSG00000143179 D5/D6","ENSG00000143179","D5/D6",3.04463151948601
"ENSG00000143297 D5/D6","ENSG00000143297","D5/D6",3.04463151948601
"ENSG00000143353 D5/D6","ENSG00000143353","D5/D6",3.04463151948601
"ENSG00000143393 D5/D6","ENSG00000143393","D5/D6",3.04463151948601
"ENSG00000143486 D5/D6","ENSG00000143486","D5/D6",3.04463151948601
"ENSG00000143493 D5/D6","ENSG00000143493","D5/D6",3.04463151948601
"ENSG00000143799 D5/D6","ENSG00000143799","D5/D6",3.04463151948601
"ENSG00000144161 D5/D6","ENSG00000144161","D5/D6",3.04463151948601
"ENSG00000144426 D5/D6","ENSG00000144426","D5/D6",3.04463151948601
"ENSG00000144524 D5/D6","ENSG00000144524","D5/D6",3.04463151948601
"ENSG00000144635 D5/D6","ENSG00000144635","D5/D6",3.04463151948601
"ENSG00000145041 D5/D6","ENSG00000145041","D5/D6",3.04463151948601
"ENSG00000145391 D5/D6","ENSG00000145391","D5/D6",3.04463151948601
"ENSG00000145687 D5/D6","ENSG00000145687","D5/D6",3.04463151948601
"ENSG00000145780 D5/D6","ENSG00000145780","D5/D6",3.04463151948601
"ENSG00000145936 D5/D6","ENSG00000145936","D5/D6",3.04463151948601
"ENSG00000146247 D5/D6","ENSG00000146247","D5/D6",3.04463151948601
"ENSG00000146350 D5/D6","ENSG00000146350","D5/D6",3.04463151948601
"ENSG00000146426 D5/D6","ENSG00000146426","D5/D6",3.04463151948601
"ENSG00000146856 D5/D6","ENSG00000146856","D5/D6",3.04463151948601
"ENSG00000147202 D5/D6","ENSG00000147202","D5/D6",3.04463151948601
"ENSG00000147364 D5/D6","ENSG00000147364","D5/D6",3.04463151948601
"ENSG00000147403 D5/D6","ENSG00000147403","D5/D6",3.04463151948601
"ENSG00000148158 D5/D6","ENSG00000148158","D5/D6",3.04463151948601
"ENSG00000148219 D5/D6","ENSG00000148219","D5/D6",3.04463151948601
"ENSG00000148483 D5/D6","ENSG00000148483","D5/D6",3.04463151948601
"ENSG00000148773 D5/D6","ENSG00000148773","D5/D6",3.04463151948601
"ENSG00000149679 D5/D6","ENSG00000149679","D5/D6",3.04463151948601
"ENSG00000150867 D5/D6","ENSG00000150867","D5/D6",3.04463151948601
"ENSG00000150967 D5/D6","ENSG00000150967","D5/D6",3.04463151948601
