"","Var1","Freq","gene","compare","gene_compare","FC","medianp"
"221","ENSG00000080845 D5/D6",8,"ENSG00000080845","D5/D6","ENSG00000080845 D5/D6",1.29156254057592,0.000711668175682447
"229","ENSG00000083857 D5/D6",7,"ENSG00000083857","D5/D6","ENSG00000083857 D5/D6",0.426874039999814,0.0209103705392598
"231","ENSG00000085514 D5/D6",7,"ENSG00000085514","D5/D6","ENSG00000085514 D5/D6",0.773295224555538,0.0168052197984664
"236","ENSG00000086061 D5/D6",6,"ENSG00000086061","D5/D6","ENSG00000086061 D5/D6",0.927808034701146,0.0243366661447676
"238","ENSG00000086062 D5/D6",6,"ENSG00000086062","D5/D6","ENSG00000086062 D5/D6",0.927127216564165,0.0450220626594312
"265","ENSG00000090621 D5/D6",4,"ENSG00000090621","D5/D6","ENSG00000090621 D5/D6",1.10867889291224,0.0953928155078255
"268","ENSG00000090661 D5/D6",5,"ENSG00000090661","D5/D6","ENSG00000090661 D5/D6",0.911327042279345,0.0536677592679978
"270","ENSG00000090975 D5/D6",7,"ENSG00000090975","D5/D6","ENSG00000090975 D5/D6",1.40516250599255,0.0195417351163642
"285","ENSG00000095015 D5/D6",7,"ENSG00000095015","D5/D6","ENSG00000095015 D5/D6",1.13253046723114,0.0164991291884683
"291","ENSG00000099282 D5/D6",8,"ENSG00000099282","D5/D6","ENSG00000099282 D5/D6",1.7018781814218,0.0335608297890002
"294","ENSG00000099331 D5/D6",7,"ENSG00000099331","D5/D6","ENSG00000099331 D5/D6",0.821564357923967,0.00351512506321507
"297","ENSG00000099904 D5/D6",7,"ENSG00000099904","D5/D6","ENSG00000099904 D5/D6",1.16563017098559,0.0140451475314725
"304","ENSG00000100030 D5/D6",10,"ENSG00000100030","D5/D6","ENSG00000100030 D5/D6",1.22976998029927,4.70205583338722e-05
"307","ENSG00000100105 D5/D6",10,"ENSG00000100105","D5/D6","ENSG00000100105 D5/D6",1.35441516419987,0.000129007876905969
"312","ENSG00000100239 D5/D6",5,"ENSG00000100239","D5/D6","ENSG00000100239 D5/D6",1.08093179545359,0.0436315475047821
"315","ENSG00000100242 D5/D6",4,"ENSG00000100242","D5/D6","ENSG00000100242 D5/D6",0.938147957798914,0.189934647775649
"320","ENSG00000100372 D5/D6",6,"ENSG00000100372","D5/D6","ENSG00000100372 D5/D6",1.28286751221324,0.00930117604671437
"322","ENSG00000100422 D5/D6",9,"ENSG00000100422","D5/D6","ENSG00000100422 D5/D6",0.8176634086829,0.000706479156283387
"327","ENSG00000100483 D5/D6",4,"ENSG00000100483","D5/D6","ENSG00000100483 D5/D6",0.835617961714851,0.242719041735404
