"","uchar","gene_compare","gene","compare"
"ENSG00000058866 M8/D6",6.8446421496561,"ENSG00000058866 M8/D6","ENSG00000058866","M8/D6"
"ENSG00000062485 D5/D6",7.23653495915645,"ENSG00000062485 D5/D6","ENSG00000062485","D5/D6"
"ENSG00000062485 F7/D6",18.7467656391617,"ENSG00000062485 F7/D6","ENSG00000062485","F7/D6"
"ENSG00000062485 M8/D6",19.0233804821077,"ENSG00000062485 M8/D6","ENSG00000062485","M8/D6"
"ENSG00000064309 D5/D6",20.6300638493124,"ENSG00000064309 D5/D6","ENSG00000064309","D5/D6"
"ENSG00000064309 F7/D6",14.4037914590288,"ENSG00000064309 F7/D6","ENSG00000064309","F7/D6"
"ENSG00000064309 M8/D6",19.4808030254503,"ENSG00000064309 M8/D6","ENSG00000064309","M8/D6"
"ENSG00000065154 D5/D6",1.86842859811078,"ENSG00000065154 D5/D6","ENSG00000065154","D5/D6"
"ENSG00000065154 F7/D6",2.32549693361278,"ENSG00000065154 F7/D6","ENSG00000065154","F7/D6"
"ENSG00000065154 M8/D6",2.28640224170289,"ENSG00000065154 M8/D6","ENSG00000065154","M8/D6"
"ENSG00000065357 D5/D6",1.34071635862733,"ENSG00000065357 D5/D6","ENSG00000065357","D5/D6"
"ENSG00000065357 F7/D6",1.50645468041368,"ENSG00000065357 F7/D6","ENSG00000065357","F7/D6"
"ENSG00000065357 M8/D6",1.52238089052524,"ENSG00000065357 M8/D6","ENSG00000065357","M8/D6"
"ENSG00000065717 D5/D6",8.60703300909827,"ENSG00000065717 D5/D6","ENSG00000065717","D5/D6"
"ENSG00000065717 F7/D6",13.167132339053,"ENSG00000065717 F7/D6","ENSG00000065717","F7/D6"
"ENSG00000065717 M8/D6",16.3087792685694,"ENSG00000065717 M8/D6","ENSG00000065717","M8/D6"
"ENSG00000065923 D5/D6",0.865915030693645,"ENSG00000065923 D5/D6","ENSG00000065923","D5/D6"
"ENSG00000065923 F7/D6",1.16824667167656,"ENSG00000065923 F7/D6","ENSG00000065923","F7/D6"
"ENSG00000065923 M8/D6",0.602402766690667,"ENSG00000065923 M8/D6","ENSG00000065923","M8/D6"
"ENSG00000066044 D5/D6",1.39807939721793,"ENSG00000066044 D5/D6","ENSG00000066044","D5/D6"
"ENSG00000066044 F7/D6",1.12414464862846,"ENSG00000066044 F7/D6","ENSG00000066044","F7/D6"
"ENSG00000066044 M8/D6",1.71198076257056,"ENSG00000066044 M8/D6","ENSG00000066044","M8/D6"
"ENSG00000066117 D5/D6",3.96368760670185,"ENSG00000066117 D5/D6","ENSG00000066117","D5/D6"
"ENSG00000066117 F7/D6",1.97815017223117,"ENSG00000066117 F7/D6","ENSG00000066117","F7/D6"
"ENSG00000066117 M8/D6",5.63842061796729,"ENSG00000066117 M8/D6","ENSG00000066117","M8/D6"
"ENSG00000066468 D5/D6",26.7662261409458,"ENSG00000066468 D5/D6","ENSG00000066468","D5/D6"
"ENSG00000066468 F7/D6",14.5098826384151,"ENSG00000066468 F7/D6","ENSG00000066468","F7/D6"
"ENSG00000066468 M8/D6",49.9036796060518,"ENSG00000066468 M8/D6","ENSG00000066468","M8/D6"
"ENSG00000066933 D5/D6",1.63558092683911,"ENSG00000066933 D5/D6","ENSG00000066933","D5/D6"
"ENSG00000066933 F7/D6",1.14948746596442,"ENSG00000066933 F7/D6","ENSG00000066933","F7/D6"
"ENSG00000066933 M8/D6",1.75237431988139,"ENSG00000066933 M8/D6","ENSG00000066933","M8/D6"
"ENSG00000067057 D5/D6",1.03118083397515,"ENSG00000067057 D5/D6","ENSG00000067057","D5/D6"
"ENSG00000067057 F7/D6",0.762077382303982,"ENSG00000067057 F7/D6","ENSG00000067057","F7/D6"
"ENSG00000067057 M8/D6",1.55878272734341,"ENSG00000067057 M8/D6","ENSG00000067057","M8/D6"
"ENSG00000067064 D5/D6",1.09821307216806,"ENSG00000067064 D5/D6","ENSG00000067064","D5/D6"
"ENSG00000067064 F7/D6",0.979017917280333,"ENSG00000067064 F7/D6","ENSG00000067064","F7/D6"
"ENSG00000067064 M8/D6",1.09525607674346,"ENSG00000067064 M8/D6","ENSG00000067064","M8/D6"
"ENSG00000067334 D5/D6",3.50289115409979,"ENSG00000067334 D5/D6","ENSG00000067334","D5/D6"
"ENSG00000067334 F7/D6",3.81028635449321,"ENSG00000067334 F7/D6","ENSG00000067334","F7/D6"
"ENSG00000067334 M8/D6",3.5155182338157,"ENSG00000067334 M8/D6","ENSG00000067334","M8/D6"
"ENSG00000067596 D5/D6",0.664507557066993,"ENSG00000067596 D5/D6","ENSG00000067596","D5/D6"
"ENSG00000067596 F7/D6",0.716286590614009,"ENSG00000067596 F7/D6","ENSG00000067596","F7/D6"
"ENSG00000067596 M8/D6",0.758453452926885,"ENSG00000067596 M8/D6","ENSG00000067596","M8/D6"
"ENSG00000067842 D5/D6",12.4547524899482,"ENSG00000067842 D5/D6","ENSG00000067842","D5/D6"
"ENSG00000067842 F7/D6",12.6013081022953,"ENSG00000067842 F7/D6","ENSG00000067842","F7/D6"
"ENSG00000067842 M8/D6",10.6740395433827,"ENSG00000067842 M8/D6","ENSG00000067842","M8/D6"
"ENSG00000068024 D5/D6",0.918148680553176,"ENSG00000068024 D5/D6","ENSG00000068024","D5/D6"
"ENSG00000068024 F7/D6",2.74378505417657,"ENSG00000068024 F7/D6","ENSG00000068024","F7/D6"
"ENSG00000068024 M8/D6",1.37273267514817,"ENSG00000068024 M8/D6","ENSG00000068024","M8/D6"
"ENSG00000068097 D5/D6",2.80258245796848,"ENSG00000068097 D5/D6","ENSG00000068097","D5/D6"
"ENSG00000068097 F7/D6",2.30579858687694,"ENSG00000068097 F7/D6","ENSG00000068097","F7/D6"
