"sample","gene","anova_p","mean_between","mean_intra","fdr"
"D5","ENSG00000270019",0.3507,1.1404,1.3385,0.9223
"D5","ENSG00000259238",0.5092,1.5903,1.3793,0.9562
"D5","ENSG00000261582",0.2126,0.0079,0.4314,0.92
"D5","ENSG00000276775",0.449,-6.0304,-5.1638,0.9502
"D5","ENSG00000238188",0.76,-1.6582,-1.3426,0.9887
"D5","ENSG00000116489",0.325,5.0489,5.267,0.9223
"D5","ENSG00000091010",0.7542,-4.0804,-3.783,0.9883
"D5","ENSG00000242590",0.9028,-5.1066,-4.9215,0.9948
"D5","ENSG00000207380",0.4166,-3.3406,-4.8492,0.947
"D5","ENSG00000103569",0.0102,-1.9165,-3.7447,0.6938
"D5","ENSG00000282860",0.1564,0.0388,0.6579,0.92
"D5","ENSG00000198837",0.0866,4.0765,4.1826,0.8981
"D5","ENSG00000235066",0.428,-1.1791,-1.0254,0.947
"D5","ENSG00000223685",0.0853,-1.4038,-0.8758,0.8981
"D5","ENSG00000174007",0.3948,0.8766,0.748,0.9267
"D5","ENSG00000198663",0.863,2.129,2.0789,0.9948
"D5","ENSG00000234287",0.0828,0.8884,0.2508,0.8981
"D5","ENSG00000243396",0.965,-0.4794,-0.5002,0.9969
"D5","ENSG00000278462",0.1857,1.5053,2.1931,0.92
"D5","ENSG00000220614",0.0889,3.017,2.6113,0.8981
"D5","ENSG00000284032",0.3908,3.8132,4.0343,0.9267
"D5","ENSG00000058056",0.769,1.8372,1.8634,0.9911
"D5","ENSG00000267143",0.9396,-4.8429,-4.6902,0.9969
"D5","ENSG00000080845",0.7976,2.0103,1.9674,0.9948
"D5","ENSG00000206922",0.2807,-1.4562,-2.8039,0.92
"D5","ENSG00000230183",0.2581,-5.15,-4.2868,0.92
"D5","ENSG00000107249",0.2657,-2.7806,-2.5614,0.92
"D5","ENSG00000110375",0.7191,-5.4471,-5.7952,0.9844
"D5","ENSG00000105662",0.0553,-0.7533,-1.2574,0.876
"D5","ENSG00000276058",0.3577,-0.6848,-1.2446,0.9223
"D5","ENSG00000231701",0.9368,-5.4331,-5.3251,0.9969
"D5","ENSG00000279333",0.3326,-6.1733,-4.9027,0.9223
"D5","ENSG00000176046",0.184,-6.2482,-5.445,0.92
"D5","ENSG00000149654",0.3446,-6.3191,-5.8167,0.9223
"D5","ENSG00000177144",0.3137,2.5518,2.7149,0.9223
"D5","ENSG00000234785",0.3293,-3.0798,-2.7071,0.9223
"D5","ENSG00000161021",0.2946,3.5418,3.5923,0.9223
"D5","ENSG00000178307",0.7852,1.8259,1.7733,0.9922
"D5","ENSG00000124942",0.9794,4.0228,4.0234,0.9976
"D5","ENSG00000178297",0.6334,-0.3468,-0.2584,0.9786
"D5","ENSG00000080603",0.6281,3.6583,3.618,0.9782
"D5","ENSG00000271615",0.0069,-1.3467,-2.4445,0.6538
"D5","ENSG00000207588",0.2524,1.1375,0.6923,0.92
"D5","ENSG00000275672",1e-04,-2.3882,-5.5908,0.1
"D5","ENSG00000118680",0.0835,5.757,5.9443,0.8981
"D5","ENSG00000273064",0.9135,-1.2216,-1.2754,0.9948
"D5","ENSG00000252652",0.0154,0.9188,-1.9528,0.7209
"D5","ENSG00000171595",0.5024,-4.6654,-5.3235,0.9562
"D5","ENSG00000188761",0.3712,-2.7856,-3.3006,0.9223
"D5","ENSG00000186298",0.5714,4.6526,4.5596,0.9713
"D5","ENSG00000233222",0.1516,-4.2633,-6.6439,0.92
"D5","ENSG00000125149",0.8286,1.0815,1.0383,0.9948
"D5","ENSG00000169718",0.68,3.5996,3.5692,0.9798
"D5","ENSG00000236056",0.5234,-4.8904,-4.1783,0.9562
"D5","ENSG00000259553",0.5705,-6.0009,-6.3536,0.9713
"D5","ENSG00000278963",0.8543,0.3744,0.4224,0.9948
"D5","ENSG00000253893",0.3737,-1.9468,-1.4892,0.9223
"D5","ENSG00000264281",0.1913,4.6841,4.3357,0.92
"D5","ENSG00000162630",0.6908,0.2268,0.3264,0.9798
"D5","ENSG00000275092",0.3919,0.4222,0.6799,0.9267
"D5","ENSG00000267565",0.897,1.6188,1.6446,0.9948
"D5","ENSG00000198538",0.2485,1.3117,1.0368,0.92
"D5","ENSG00000171462",0.5132,1.1072,1.2254,0.9562
"D5","ENSG00000139083",0.5767,4.3716,4.3525,0.9722
"D5","ENSG00000270177",0.3072,-1.2586,-0.8708,0.9223
"D5","ENSG00000256234",0.5976,-1.5455,-1.7363,0.9775
"D5","ENSG00000137463",0.5635,-4.67,-5.3532,0.9691
"D5","ENSG00000261612",0.5507,-2.357,-3.183,0.9643
"D5","ENSG00000067057",0.588,5.4068,5.4392,0.9742
"D5","ENSG00000150867",0.6103,4.9015,4.8557,0.9775
"D5","ENSG00000197822",0.022,1.0674,0.7102,0.7333
"D5","ENSG00000143493",0.1443,3.359,3.4827,0.92
"D5","ENSG00000233579",0.3351,-1.9338,-1.0732,0.9223
"D5","ENSG00000277882",0.9037,-4.1479,-3.9537,0.9948
"D5","ENSG00000254482",0.0357,-4.8949,-2.1104,0.8136
"D5","ENSG00000259295",0.5297,-3.0346,-3.3132,0.9562
"D5","ENSG00000125484",0.1685,2.6881,2.8006,0.92
"D5","ENSG00000270948",0.3635,-2.8585,-1.8645,0.9223
"D5","ENSG00000170006",0.8183,2.9213,2.9452,0.9948
"D5","ENSG00000145879",0.0607,-5.4362,-3.5904,0.896
"D5","ENSG00000228446",0.1625,1.4553,1.1946,0.92
"D5","ENSG00000279201",0.2777,-5.4378,-6.6439,0.92
"D5","ENSG00000168887",0.521,2.7398,2.6565,0.9562
"D5","ENSG00000019186",0.8895,-6.0526,-5.9577,0.9948
"D5","ENSG00000198740",0.851,1.7577,1.7283,0.9948
"D5","ENSG00000256351",0.2988,-1.0598,-1.5868,0.9223
"D5","ENSG00000112335",0.7528,4.0697,4.1223,0.9879
"D5","ENSG00000224897",0.3189,-3.9941,-4.7623,0.9223
"D5","ENSG00000163879",0.5018,-0.9572,-0.7991,0.9562
"D5","ENSG00000260084",0.3434,-4.6471,-2.9962,0.9223
"D5","ENSG00000260286",0.6535,-3.9568,-4.4978,0.9786
"D5","ENSG00000092931",0.4318,2.257,2.1648,0.947
"D5","ENSG00000198795",0.6684,-6.5736,-6.6439,0.9786
"D5","ENSG00000168246",0.5079,4.2041,4.1554,0.9562
"D5","ENSG00000231564",0.527,1.2733,0.9494,0.9562
"D5","ENSG00000226067",0.0952,2.0543,1.8513,0.8981
"D5","ENSG00000187122",0.0101,-1.937,-2.5919,0.6938
"D5","ENSG00000231181",0.3663,1.841,1.6755,0.9223
"D5","ENSG00000272505",0.6595,-0.1246,-0.2396,0.9786
"D5","ENSG00000168778",0.7243,0.4507,0.4053,0.9848
"D5","ENSG00000232630",0.7658,0.8443,0.7396,0.9909
"D5","ENSG00000214827",0.9309,-0.0895,-0.1218,0.9948
"D5","ENSG00000234678",0.9589,-0.8459,-0.8257,0.9969
"D5","ENSG00000170270",0.0914,1.9379,2.2649,0.8981
"D5","ENSG00000252822",0.5511,-3.6673,-2.6393,0.9643
"D5","ENSG00000261559",0.2926,-3.5088,-2.717,0.9223
"D5","ENSG00000199530",0.5944,-0.9447,-1.7264,0.9775
"D5","ENSG00000232217",0.8306,-0.1217,0.1459,0.9948
"D5","ENSG00000265972",0.4601,2.857,2.9033,0.9503
"D5","ENSG00000240509",0.7586,-3.3866,-2.9754,0.9887
"D5","ENSG00000176753",0.7226,-5.0214,-4.7258,0.9848
"D5","ENSG00000273982",0.4232,-3.0932,-2.048,0.947
"D5","ENSG00000102699",0.2475,4.7124,4.7538,0.92
"D5","ENSG00000157483",0.7415,5.5141,5.5044,0.9855
"D5","ENSG00000196365",0.8759,5.6878,5.6961,0.9948
"D5","ENSG00000148677",0.2616,-5.0823,-6.1435,0.92
"D5","ENSG00000122121",0.5345,-6.4401,-6.6439,0.9562
"D5","ENSG00000252034",0.5615,-1.313,-2.2818,0.9681
"D5","ENSG00000253368",0.1866,-3.7088,-2.3188,0.92
"D5","ENSG00000142765",0.744,3.883,3.8576,0.9855
"D5","ENSG00000126261",0.1108,4.7912,4.6363,0.92
"D5","ENSG00000087152",0.5581,3.7851,3.8253,0.966
"D5","ENSG00000244306",0.7796,-6.0739,-6.1546,0.9915
"D5","ENSG00000235776",0.6467,-1.3606,-1.6261,0.9786
"D5","ENSG00000176171",0.777,2.3617,2.3876,0.9911
"D5","ENSG00000174749",0.334,0.1972,0.064,0.9223
"D5","ENSG00000109670",0.1948,3.2512,3.1377,0.92
"D5","ENSG00000172172",0.2735,1.8393,1.9395,0.92
"D5","ENSG00000201367",0.6733,1.06,0.8543,0.9798
"D5","ENSG00000132938",0.9639,0.5864,0.5819,0.9969
"D5","ENSG00000117676",0.8479,3.941,3.9656,0.9948
"D5","ENSG00000268902",0.2024,-5.0654,-6.6439,0.92
"D5","ENSG00000276988",0.5248,-1.6305,-0.7888,0.9562
"D5","ENSG00000170684",0.6614,2.6064,2.5515,0.9786
"D5","ENSG00000259096",0.7806,-2.2163,-2.0374,0.9915
"D5","ENSG00000214248",0.2487,-1.8357,-1.1258,0.92
"D5","ENSG00000268088",0.9197,2.824,2.8457,0.9948
"D5","ENSG00000115339",0.8072,1.0758,1.0426,0.9948
"D5","ENSG00000119242",0.7574,-0.3488,-0.4016,0.9887
"D5","ENSG00000231584",0.3305,1.4554,1.2858,0.9223
"D5","ENSG00000243501",0.378,-3.6381,-4.6219,0.9223
"D5","ENSG00000129566",0.7716,3.113,3.1359,0.9911
"D5","ENSG00000226617",0.475,-3.5858,-4.6491,0.9562
"D5","ENSG00000115425",0.5782,0.8338,0.8941,0.9722
"D5","ENSG00000214215",0.8293,-1.6623,-1.7488,0.9948
