"gene_compare","log2fc_p","gene","compare"
"ENSG00000172426 D5/D6",0.677346585524809,"ENSG00000172426","D5/D6"
"ENSG00000198792 D5/D6",0.419146500406603,"ENSG00000198792","D5/D6"
"ENSG00000265972 D5/D6",0.0399705636236954,"ENSG00000265972","D5/D6"
"ENSG00000273565 D5/D6",0.10684648211946,"ENSG00000273565","D5/D6"
"ENSG00000145391 D5/D6",0.236498041494921,"ENSG00000145391","D5/D6"
"ENSG00000126266 D5/D6",0.412306010917798,"ENSG00000126266","D5/D6"
"ENSG00000176046 D5/D6",0.0692548355209778,"ENSG00000176046","D5/D6"
"ENSG00000250474 D5/D6",0.485675745037034,"ENSG00000250474","D5/D6"
"ENSG00000282860 D5/D6",0.256558430568866,"ENSG00000282860","D5/D6"
"ENSG00000254726 D5/D6",0.266966039271505,"ENSG00000254726","D5/D6"
"ENSG00000279191 D5/D6",0.060645050102165,"ENSG00000279191","D5/D6"
"ENSG00000254016 D5/D6",0.957074120629169,"ENSG00000254016","D5/D6"
"ENSG00000284669 D5/D6",0.0517437499891042,"ENSG00000284669","D5/D6"
"ENSG00000214827 D5/D6",0.712581032596904,"ENSG00000214827","D5/D6"
"ENSG00000142156 D5/D6",0.198581283922202,"ENSG00000142156","D5/D6"
"ENSG00000004939 D5/D6",0.757749613353966,"ENSG00000004939","D5/D6"
"ENSG00000253831 D5/D6",0.0041934372611259,"ENSG00000253831","D5/D6"
"ENSG00000272768 D5/D6",0.000636172924901337,"ENSG00000272768","D5/D6"
"ENSG00000083857 D5/D6",0.893461784296494,"ENSG00000083857","D5/D6"
"ENSG00000274011 D5/D6",0.638399104402478,"ENSG00000274011","D5/D6"
"ENSG00000130711 D5/D6",0.463715251823197,"ENSG00000130711","D5/D6"
"ENSG00000064309 D5/D6",0.97118377608762,"ENSG00000064309","D5/D6"
"ENSG00000280216 D5/D6",0.483836536564197,"ENSG00000280216","D5/D6"
"ENSG00000226253 D5/D6",0.0528340012534816,"ENSG00000226253","D5/D6"
"ENSG00000263235 D5/D6",0.256391095158832,"ENSG00000263235","D5/D6"
"ENSG00000101307 D5/D6",0.252886400959101,"ENSG00000101307","D5/D6"
"ENSG00000275379 D5/D6",0.147784805942711,"ENSG00000275379","D5/D6"
"ENSG00000269903 D5/D6",0.931616102669073,"ENSG00000269903","D5/D6"
"ENSG00000176225 D5/D6",0.376199030423666,"ENSG00000176225","D5/D6"
"ENSG00000234175 D5/D6",0.496983479698724,"ENSG00000234175","D5/D6"
"ENSG00000227855 D5/D6",0.908075749973547,"ENSG00000227855","D5/D6"
"ENSG00000258818 D5/D6",0.0842164857981227,"ENSG00000258818","D5/D6"
"ENSG00000158815 D5/D6",0.0577094498009536,"ENSG00000158815","D5/D6"
"ENSG00000070214 D5/D6",0.71608586322656,"ENSG00000070214","D5/D6"
"ENSG00000145687 D5/D6",0.528769087304704,"ENSG00000145687","D5/D6"
"ENSG00000107147 D5/D6",0.590159843682998,"ENSG00000107147","D5/D6"
"ENSG00000131398 D5/D6",0.437035970400497,"ENSG00000131398","D5/D6"
"ENSG00000186940 D5/D6",0.301480987917266,"ENSG00000186940","D5/D6"
"ENSG00000137936 D5/D6",0.553270527130881,"ENSG00000137936","D5/D6"
"ENSG00000211835 D5/D6",0.436697789235033,"ENSG00000211835","D5/D6"
