"","Var1","Freq","gene","compare","gene_compare","fc","medianp","uchar","ubb","us","uc","U"
2052,"ENSG00000197157 D5/D6",10,"ENSG00000197157","D5/D6","ENSG00000197157 D5/D6",1.19356408848513,0.000715835181031935,1.05706554683171,237.928697623621,3.04463151948601,237.950524944855,475.90104988971
2055,"ENSG00000197444 D5/D6",9,"ENSG00000197444","D5/D6","ENSG00000197444 D5/D6",0.357517041317944,0.000186164078609357,4.24858185554703,1.73678377230703,3.04463151948601,5.50787134422003,11.0157426884401
2058,"ENSG00000197498 D5/D6",9,"ENSG00000197498","D5/D6","ENSG00000197498 D5/D6",1.32724819355943,0.000118801578361605,0.864283829071007,25.654110394137,3.04463151948601,25.8486004986964,51.6972009973928
2066,"ENSG00000197822 D5/D6",10,"ENSG00000197822","D5/D6","ENSG00000197822 D5/D6",2.08399376680183,1.25372349495463e-05,1.2159525156239,25.7393465543182,3.04463151948601,25.9472981763611,51.8945963527222
2075,"ENSG00000198056 D5/D6",10,"ENSG00000198056","D5/D6","ENSG00000198056 D5/D6",1.28873167247822,0.00436502969830244,1.35175536008435,27.4941579785347,3.04463151948601,27.695229672122,55.390459344244
2083,"ENSG00000198393 D5/D6",5,"ENSG00000198393","D5/D6","ENSG00000198393 D5/D6",1.14735640027468,0.0553015073086286,2.20055540209813,36.0527002882897,3.04463151948601,36.2478885349808,72.4957770699616
2092,"ENSG00000198554 D5/D6",8,"ENSG00000198554","D5/D6","ENSG00000198554 D5/D6",1.21283062737552,0.00561453632466804,1.19633713535475,21.3956559597476,3.04463151948601,21.6442855640642,43.2885711281284
2096,"ENSG00000198663 D5/D6",5,"ENSG00000198663","D5/D6","ENSG00000198663 D5/D6",0.892652809756958,0.117085696042005,15.4137735673966,83.1593633506844,3.04463151948601,84.6305731374163,169.261146274833
2099,"ENSG00000198740 D5/D6",7,"ENSG00000198740","D5/D6","ENSG00000198740 D5/D6",0.674872349129837,0.00779344148494795,8.86317450773631,37.9451262663217,3.04463151948601,39.0852689745271,78.1705379490542
2106,"ENSG00000198816 D5/D6",5,"ENSG00000198816","D5/D6","ENSG00000198816 D5/D6",0.781872238627314,0.0613309428540948,4.80838346711928,61.1308970629156,3.04463151948601,61.3952515132327,122.790503026465
2109,"ENSG00000198826 D5/D6",10,"ENSG00000198826","D5/D6","ENSG00000198826 D5/D6",2.37367587233681,4.25156543237997e-05,4.68519386699717,61.1354495819722,3.04463151948601,61.3902599623968,122.780519924794
